Win11 full_event_name,count
315A8872-923E-4EA2-9889-33CD4754BF64.101_0,10
315A8872-923E-4EA2-9889-33CD4754BF64.102_0,10
315A8872-923E-4EA2-9889-33CD4754BF64.5901_1,251
315A8872-923E-4EA2-9889-33CD4754BF64.5902_1,251
315A8872-923E-4EA2-9889-33CD4754BF64.5977_0,3
315A8872-923E-4EA2-9889-33CD4754BF64.5978_0,4
331C3B3A-2005-44C2-AC5E-77220C37D6B4.109_0,1
331C3B3A-2005-44C2-AC5E-77220C37D6B4.149_0,8
331C3B3A-2005-44C2-AC5E-77220C37D6B4.150_0,10
56F519AB-9DF6-4345-8491-A4BA21AC825B.2000_0,16
8127F6D4-59F9-4ABF-8952-3E3A02073D5F.302_0,2
89592015-D996-4636-8F61-066B5D4DD739.259_0,2
93C05D69-51A3-485E-877F-1806A8731346.16001_0,20
93C05D69-51A3-485E-877F-1806A8731346.16002_0,20
93C05D69-51A3-485E-877F-1806A8731346.16005_0,2
93C05D69-51A3-485E-877F-1806A8731346.16006_0,2
9C205A39-1250-487D-ABD7-E831C6290539.276_0,15
9C205A39-1250-487D-ABD7-E831C6290539.277_0,15
ActivationManager.AAMActivationCreateProcess,64
ActivationManager.AAMShim_ActivationStart,100
ActivationManager.AAMShim_ActivationStop,100
ActivationManager.ActivationPerfStats,100
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_BeforeNavigateExtended,30
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_BrowserInfo,3
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrl,9
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrlEx,6
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,29
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_NavigateElementClicked,4
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_PageContentInfo,7
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_PreferenceDefaultSearchProviderCurrent,3
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_PreferenceHomepageCurrent,3
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_TabAllClosed,3
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_TabClosed,4
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_TabCreated,1
Aria.218d658af29e41b6bc37144bd03f018d.Microsoft.WebBrowser.HistoryJournal.HJ_W3cNavTiming,7
Aria.412a111ab07348379f4fe26cbf4d6982.Microsoft.WebBrowser.SmartScreen.Error,1
Aria.6660cc65b74b4291b30536aea7ed6ead.Microsoft.WebBrowser.Protobuf.UMA.Histograms.Group1,9
Aria.af397ef28e484961ba48646a5d38cf54.Microsoft.WebBrowser.Installer.EdgeUpdate.Ping,13
Aria.af397ef28e484961ba48646a5d38cf54.Microsoft.WebBrowser.Installer.EdgeUpdate.UsageStats,2
Aria.d5a8f02229be41efb047bd8f883ba799.ActionQueued,5
Aria.d5a8f02229be41efb047bd8f883ba799.Assert,24
Aria.d5a8f02229be41efb047bd8f883ba799.Pulse,2
Aria.d5a8f02229be41efb047bd8f883ba799.SyncHealthHourly,7
Aria.d5a8f02229be41efb047bd8f883ba799.Trace,51
B9B2DE3C-3FBD-4F42-8FF7-33C3BAD35FD4.1_0,39
B9B2DE3C-3FBD-4F42-8FF7-33C3BAD35FD4.2_0,180
CbsServicingProvider.CBSReadCustomInformation,42
CbsServicingProvider.CbsExecutionInitialized,1
CbsServicingProvider.CbsPackageChangeBeginV3,1
CbsServicingProvider.CbsPackageChangeEndV2,2
CbsServicingProvider.CbsScavengeSession,1
Census.App,3
Census.Battery,3
Census.Enterprise,3
Census.Firmware,3
Census.Flighting,3
Census.Hardware,3
Census.Memory,3
Census.Network,3
Census.OS,3
Census.PrivacySettings,3
Census.Processor,3
Census.Security,3
Census.Speech,3
Census.Storage,3
Census.UserDisplay,3
Census.UserNLS,3
Census.UserPrivacySettings,3
Census.Userdefault,3
Census.VM,3
Census.WU,3
CombaseTraceLoggingProvider.DesktopAppxComActivation,22
CombaseTraceLoggingProvider.PrivateUserHiveLoadKeyFailed,6
D1F688BF-012F-4AEC-A38C-E7D4649F8CD2.102_0,32
D1F688BF-012F-4AEC-A38C-E7D4649F8CD2.104_0,12
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.10_0,5
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6103_0,2
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6104_0,2
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6109_0,1
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6112_0,9
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6113_0,1
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.6116_0,2
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.801_0,5
DBE9B383-7CF3-4331-91CC-A3CB16A3B538.802_0,5
DotNet.CLR.SKUOrVersion,304
DxgKrnlTelemetry.BddDiag,1
DxgKrnlTelemetry.ClientRunningTime,99
DxgKrnlTelemetry.DisplayConnectivityNotification,110
DxgKrnlTelemetry.DisplayHPDFiltering,1
DxgKrnlTelemetry.DisplayInventoryV2,83
DxgKrnlTelemetry.GPUAdapterInventoryV2,13
DxgKrnlTelemetry.GPUAdapterStop,2
FB19EE2C-0D22-4A2E-969E-DD41AE0CE1A9.2001_0,12
FB19EE2C-0D22-4A2E-969E-DD41AE0CE1A9.2_0,6
FveAPILoggingProvider.BitLocker.FveApi.Lib.Base.Log,2
FveAPILoggingProvider.BitLocker.FveApi.Lib.Log,1
FveAPILoggingProvider.BitLocker.FveApi.LicenseCheck,7
FveDetectTelemetry.FveRemoveTrustedWimData,1
FveVolTraceLogProvKM.Bitlocker.Driver.ROPolicy.Mount,4
IumTelemetryProvider.EfiRuntimeServices,1
IumTelemetryProvider.IumStatus,1
KernelGeneral.HvInfo,1
KernelGeneral.LeapSecondDataUpdate,1
KernelGeneral.SystemShutdown,1
KernelGeneral.SystemStart,1
KernelGeneral.SystemTimeChange,6
KernelGeneral.TimeZoneBiasChange,1
KernelProcess.AppStateChangeSummary,457
LSM.ConnectTime,2
LSM.DisconnectTime,2
LSM.LogonTime,9
LSM.RDSHTelemetryListeners,1
LSM.SessionArbitration,27
LSM.TerminalClass,3
LSM.TerminalType,2
MSAClientTraceLoggingProvider.AcquireTokens,123
MSAClientTraceLoggingProvider.CloudAP_WLIDCAcquireTokensEx,1
MSAClientTraceLoggingProvider.GetPoPTokens,32
MSAClientTraceLoggingProvider.HandleGetProofOfPossessionTokens,14
MSAClientTraceLoggingProvider.IdleCallback,30
MSAClientTraceLoggingProvider.NetworkCallDetails,41
MSAClientTraceLoggingProvider.ServerErrors,1
MSAClientTraceLoggingProvider.ServiceStop,30
MSAClientTraceLoggingProvider.SkipTokenUpdateOnProfileLoadInfo,18
MSAClientTraceLoggingProvider.TpmUpdateRequired,268
MSAClientTraceLoggingProvider.WLIDSvcCredDelete,2
MSAClientTraceLoggingProvider.WLIDSvcNegativeCache,1
Microsoft-Windows-BITS-Client.JobCompleted,10
Microsoft-Windows-BITS-Client.ServiceShutdown,10
Microsoft-Windows-BITS-Client.ServiceStartup,10
Microsoft-Windows-Desktop-ApplicationFrame.AfterShowWindow,65
Microsoft-Windows-Desktop-ApplicationFrame.ApplicationFrame_Initialize,130
Microsoft-Windows-Desktop-ApplicationFrame.BeforeShowWindow,65
Microsoft-Windows-Desktop-ApplicationFrame.FadeOutCurrentSystemVisual,12
Microsoft-Windows-Desktop-ApplicationFrame.MoveSizeLoop,6
Microsoft-Windows-Desktop-ApplicationFrame.ThemeAwareSplashScreenColorDetected,25
Microsoft-Windows-Desktop-ApplicationManager.AppFrameHostStartup,20
Microsoft-Windows-Desktop-ApplicationManager.SplashScreenSuppressed,4
Microsoft-Windows-Desktop-Shell-Personalization.WallpaperUpdatedViaUpdateImageToSystemSetting,11
Microsoft-Windows-Desktop-Shell-Windowing.DismissMultitaskingView,12
Microsoft-Windows-Desktop-Shell-Windowing.PositionViewForActivation,28
Microsoft-Windows-Desktop-Shell-Windowing.SnapFlyoutInvoke,7
Microsoft-Windows-Desktop-Shell-Windowing.TMCSwitchMode,12
Microsoft-Windows-Desktop-Shell-Windowing.TabletModeSettings,9
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostExtendedUIInvoked,25
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostFoundPinnedSites,10
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostThumbnailRequested,4
Microsoft-Windows-Desktop-Shell-Windowing.WindowTabHostTimestampUpdateCanceled,1
Microsoft-Windows-DispBroker.DisplayStateFunctionalize,68
Microsoft-Windows-FileHistory-ConfigMgr.FHInterfaceUsage(Aggregate),9
Microsoft-Windows-Fundamentals-PilotsHub.InsidersHubLaunch,1
Microsoft-Windows-Fundamentals-PilotsHub.InsidersHubNavigationInfo,2
Microsoft-Windows-Fundamentals-PilotsHub.PilotsHubEventInfo,7
Microsoft-Windows-Fundamentals-PilotsHub.PilotsHubOnLaunched,1
Microsoft-Windows-Kernel-Mm.NonRetpolineSystemImageLoadedAggregate,10
Microsoft-Windows-Kernel-Mm.SystemImagePinAddressAggregate,3
Microsoft-Windows-Networking-BackgroundTransfer.TransferStarted,3
Microsoft-Windows-Networking-BackgroundTransfer.TransferSucceeded,3
Microsoft-Windows-Shell-CortanaProactive.ActivityError,15
Microsoft-Windows-Shell-CortanaProactive.CortanaStoreApp_CortanaAvailable,30
Microsoft-Windows-Shell-CortanaProactive.Cortana_AllowedOnSKU,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_AppInstalled,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_CortanaAvailable,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_DeveloperOverride,15
Microsoft-Windows-Shell-CortanaProactive.Cortana_EnterprisePolicyEnabled,15
Microsoft-Windows-Shell-Launcher.ActivityError,30
Microsoft-Windows-Shell-Launcher.ActivityIntermediateStop,9
Microsoft-Windows-Shell-Launcher.AllAppsSessionCompleted,9
Microsoft-Windows-Shell-Launcher.AppLaunch,10
Microsoft-Windows-Shell-Launcher.CortanaLauncherInvokeActivity,26
Microsoft-Windows-Shell-Launcher.ExplorerHandshakeFailedWhenSettingShellExperienceProperties,1
Microsoft-Windows-Shell-Launcher.LauncherClosed,9
Microsoft-Windows-Shell-Launcher.LauncherInvokeActivity,18
Microsoft-Windows-Shell-Launcher.LauncherOpened,9
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuDefaultConsole,5
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteCommand,10
Microsoft-Windows-Shell-Launcher.LauncherTipContextMenuExecuteShutdownCommand,4
Microsoft-Windows-Shell-Launcher.PinInvoked,3
Microsoft-Windows-Shell-Launcher.PinnedItemAction,3
Microsoft-Windows-Shell-Launcher.RecommendedItemAction,5
Microsoft-Windows-Shell-Launcher.RecommendedItemCensus,9
Microsoft-Windows-Shell-Launcher.StartPropertiesOnOpened,9
Microsoft-Windows-Shell-Launcher.StartScreen_Readiness,10
Microsoft-Windows-Shell-Launcher.StartScreen_TimeToReady,20
